 PNAME , OPRNAME , UTLSRVNM ,BANAME, LAT , LON , PLPRMFL , PLFUELCT , CAPFAC , NAMEPCAP 
Hennepin Island,Northern States Power Co - Minnesota,Northern States Power Co - Minnesota,"Midcontinent Independent Transmission System Operator, Inc..",44.982359,-93.254163,WAT,HYDRO,0.528,13.7
Hibbard Energy Center,"ALLETE, Inc.","ALLETE, Inc.","Midcontinent Independent Transmission System Operator, Inc..",46.735331,-92.151711,WDS,BIOMASS,0.018,122.8
Hibbing,"ALLETE, Inc.",Hibbing Public Utilities Comm,"Midcontinent Independent Transmission System Operator, Inc..",47.4294,-92.935,SUB,COAL,0.464,35.9
High Bridge,Northern States Power Co - Minnesota,Northern States Power Co - Minnesota,"Midcontinent Independent Transmission System Operator, Inc..",44.9314,-93.1117,NG,GAS,0.126,920.8
Hills,Interstate Power and Light Co,Interstate Power and Light Co,"Midcontinent Independent Transmission System Operator, Inc..",43.528874,-96.364722,DFO,OIL, -   ,4
Hometown Bio Energy LLC,City of Le Sueur - (MN),Hometown Bio Energy LLC,"Midcontinent Independent Transmission System Operator, Inc..",44.435556,-93.906389,OBG,BIOMASS,0.063,8
Hoot Lake,Otter Tail Power Co,Otter Tail Power Co,"Midcontinent Independent Transmission System Operator, Inc..",46.290641,-96.043252,SUB,COAL,0.484,138.2
Hope Creek LLC,Northern States Power Co - Minnesota,CHI Operations Inc,"Midcontinent Independent Transmission System Operator, Inc..",44.2275,-96.2192,WND,WIND,0.413,1.9
Hutchinson - Plant 2,Hutchinson Utilities Comm,Hutchinson Utilities Comm,"Midcontinent Independent Transmission System Operator, Inc..",44.888881,-94.349348,NG,GAS,0.013,115.5
Hutchinson Plant #1,Hutchinson Utilities Comm,Hutchinson Utilities Comm,"Midcontinent Independent Transmission System Operator, Inc..",44.895741,-94.368433,NG,GAS,0.04,44.5
IBM West,Rochester Public Utilities,Rochester Public Utilities,"Midcontinent Independent Transmission System Operator, Inc..",44.0587,-92.5119,DFO,OIL,0.001,3.6
International Falls Power,"ALLETE, Inc.",Boise White Paper LLC,"Midcontinent Independent Transmission System Operator, Inc..",48.608054,-93.404313,WAT,HYDRO,0.015,14.2
Inver Hills,Northern States Power Co - Minnesota,Northern States Power Co - Minnesota,"Midcontinent Independent Transmission System Operator, Inc..",44.781,-93.042,NG,GAS,0.001,284.4
Jack River LLC,Northern States Power Co - Minnesota,CHI Operations Inc,"Midcontinent Independent Transmission System Operator, Inc..",44.4233,-96.4411,WND,WIND,0.364,1.9
Janesville,Xcel Energy Inc,City of Janesville - (MN),"Midcontinent Independent Transmission System Operator, Inc..",44.1122,-93.6944,DFO,OIL,0.001,4.9
Jeffers Wind 20 LLC,Interstate Power and Light Co,Edison Mission Energy,"Midcontinent Independent Transmission System Operator, Inc..",44.057778,-95.2525,WND,WIND,0.399,50
Jessica Mills LLC,Northern States Power Co - Minnesota,CHI Operations Inc,"Midcontinent Independent Transmission System Operator, Inc..",44.4278,-96.43,WND,WIND,0.343,1.9
Julia Hills LLC,Northern States Power Co - Minnesota,CHI Operations Inc,"Midcontinent Independent Transmission System Operator, Inc..",44.4231,-96.4458,WND,WIND,0.356,1.9
K&D Energy LLC,Great River Energy,Ewington Wind Project,"Midcontinent Independent Transmission System Operator, Inc..",43.6181,-95.4172,WND,WIND,0.419,4
Kas Brothers Windfarm,Northern States Power Co - Minnesota,Kas Brothers Windfarm LLC,"Midcontinent Independent Transmission System Operator, Inc..",44.0119,-96.1125,WND,WIND,0.304,1.5
K-Brink Windfarm LLC,Northern States Power Co - Minnesota,Edison Mission Energy,"Midcontinent Independent Transmission System Operator, Inc..",44.0197,-96.1183,WND,WIND,0.379,2
KC Energy LLC,Great River Energy,Ewington Wind Project,"Midcontinent Independent Transmission System Operator, Inc..",43.6292,-95.4169,WND,WIND,0.445,4
Kenyon Municipal,Kenyon Municipal Utilities,Kenyon Municipal Utilities,"Midcontinent Independent Transmission System Operator, Inc..",44.2689,-92.9714,DFO,OIL, -   ,5.4
Key City,Northern States Power Co - Minnesota,Northern States Power Co - Minnesota,"Midcontinent Independent Transmission System Operator, Inc..",44.1974,-94.0078,NG,GAS, -   ,72
Knife Falls,"ALLETE, Inc.","ALLETE, Inc.","Midcontinent Independent Transmission System Operator, Inc..",46.726627,-92.448619,WAT,HYDRO,0.399,2.4
Koda Biomass Plant,Xcel Energy Inc,Koda Energy LLC,"Midcontinent Independent Transmission System Operator, Inc..",44.7956,-93.5386,NG,GAS,0.575,23.4
KSS Turbines LLC,Great River Energy,Ewington Wind Project,"Midcontinent Independent Transmission System Operator, Inc..",43.6247,-95.4314,WND,WIND,0.418,4
Lake Benton I,Northern States Power Co - Minnesota,Allete Clean Energy,"Midcontinent Independent Transmission System Operator, Inc..",44.2917,-96.375,WND,WIND,0.251,107.2
Lake Benton II,Northern States Power Co - Minnesota,Lake Benton Power Part II LLC,"Midcontinent Independent Transmission System Operator, Inc..",44.129369,-96.116971,WND,WIND,0.3,103.5
Lake Crystal,City of Lake Crystal - (MN),City of Lake Crystal - (MN),"Midcontinent Independent Transmission System Operator, Inc..",44.106888,-94.219697,DFO,OIL,0.001,5.8
Lake Marion,Dakota Electric Association,Energy Alternatives Wholesale LLC,"Midcontinent Independent Transmission System Operator, Inc..",44.600278,-93.293889,DFO,OIL,0.003,8.8
Lakefield Junction Generating,Northern States Power Co - Minnesota,Great River Energy,"Midcontinent Independent Transmission System Operator, Inc..",43.798439,-94.841451,NG,GAS,0.007,537.8
Lakefield Utilities,City of Lakefield - (MN),City of Lakefield - (MN),"Midcontinent Independent Transmission System Operator, Inc..",43.680278,-95.1725,DFO,OIL, -   ,5.4
