 PNAME , OPRNAME , UTLSRVNM ,BANAME, LAT , LON , PLPRMFL , PLFUELCT , CAPFAC , NAMEPCAP 
Butter Creek Power LLC,PacifiCorp,Echo 3,PacifiCorp - West,45.7017,-119.4222,WND,WIND,0.302,5
Carmen Smith,Eugene Water & Electric Board,Eugene Water & Electric Board,Bonneville Power Administration,44.285977,-122.041352,WAT,HYDRO,0.28,114.3
Carty Generating Station,Bonneville Power Administration,Portland General Electric Co,Bonneville Power Administration,45.698611,-119.813056,NG,GAS,,1000
C-Drop Hydro,PacifiCorp,C-Drop,PacifiCorp - West,42.165833,-121.685,WAT,HYDRO,0.223,1.1
Chopin Wind LLC,PacifiCorp,BayWa r.e Wind LLC,PacifiCorp - West,45.88,-118.463333,WND,WIND,,10
Clearwater 1,PacifiCorp,PacifiCorp,PacifiCorp - West,43.251244,-122.337924,WAT,HYDRO,0.314,15
Clearwater 2,PacifiCorp,PacifiCorp,PacifiCorp - West,43.266894,-122.409807,WAT,HYDRO,0.197,26
Cline Falls,PacifiCorp,PacifiCorp,PacifiCorp - West,44.2778,-121.2564,WAT,HYDRO,,1
Coffin Butte,Bonneville Power Administration,Power Resources Cooperative,Bonneville Power Administration,44.5889,-123.2728,LFG,BIOMASS,0.863,5.6
Co-Gen II LLC,PacifiCorp,Co-Gen II,PacifiCorp - West,42.961126,-123.359138,WDS,BIOMASS, -   ,7.5
Co-Gen LLC,"Oregon Trail El Cons Coop, Inc",Co-Generation Co,Bonneville Power Administration,44.458696,-118.720601,WDS,BIOMASS, -   ,7.5
Combine Hills I,PacifiCorp,Eurus Combine Hills I LLC,PacifiCorp - West,45.943,-118.591,WND,WIND,0.299,41
Condon Windpower LLC,Bonneville Power Administration,Allete Clean Energy,Bonneville Power Administration,45.2766,-120.2794,WND,WIND,0.228,49.8
Copper Dam Plant,PacifiCorp,Farmer's Irrigation District,PacifiCorp - West,45.66523,-121.523761,WAT,HYDRO,0.546,3
Cougar,Bonneville Power Administration,USACE Northwestern Division,Bonneville Power Administration,44.1307,-122.2439,WAT,HYDRO,0.689,26
Covanta Marion Inc,Portland General Electric Co,Covanta Marion Inc,Portland General Electric Company,45.048467,-122.962761,MSW,BIOMASS,0.765,13.1
Coyote Springs,Bonneville Power Administration,Portland General Electric Co,Bonneville Power Administration,45.847998,-119.67392,NG,GAS,0.546,266.3
Coyote Springs II,Avista Corp,Avista Corp,Bonneville Power Administration,45.848039,-119.673965,NG,GAS,0.594,287
Dalles Dam North Fishway Project,PUD No 1 of Klickitat County,Northern Wasco County PUD,Bonneville Power Administration,45.614375,-121.136885,WAT,HYDRO,0.718,6.5
Detroit,Bonneville Power Administration,USACE Northwestern Division,Bonneville Power Administration,44.7224,-122.2511,WAT,HYDRO,0.425,100
Dexter,Bonneville Power Administration,USACE Northwestern Division,Bonneville Power Administration,43.9242,-122.8055,WAT,HYDRO,0.323,15
Dillard Complex,PacifiCorp,Roseburg Forest Products Co,PacifiCorp - West,43.0895,-123.4156,WDS,BIOMASS,0.371,51.5
Dorena Hydro-Electric Facility,PacifiCorp,"Dorena Hydro, LLC",PacifiCorp - West,43.786667,-122.958056,WAT,HYDRO,0.013,7.5
Dry Creek LFG to Energy Project,PacifiCorp,Oregon Environmental Industries LLC,PacifiCorp - West,42.3883,-122.7911,LFG,BIOMASS,0.726,3.2
Durbin Creek Windfarm,Idaho Power Co,"Oregon Windfarms, LLC",Idaho Power Company,44.353056,-117.323056,WND,WIND,,10
Eagle Point,PacifiCorp,PacifiCorp,PacifiCorp - West,42.514575,-122.757062,WAT,HYDRO,0.66,2.8
East Side,PacifiCorp,PacifiCorp,PacifiCorp - West,42.224847,-121.795496,WAT,HYDRO,,3.2
Elkhorn Valley Wind Farm,Idaho Power Co,Telocaset Wind Power Partners,Idaho Power Company,45.085221,-117.816273,WND,WIND,0.333,100.7
Eurus Combine Hills Turbine Ranch 2,Bonneville Power Administration,Eurus Combine Hills II LLC,Bonneville Power Administration,45.943,-118.591,WND,WIND,0.293,63
Evergreen BioPower LLC,PacifiCorp,Evergreen BioPower LLC,PacifiCorp - West,44.770792,-122.611974,WDS,BIOMASS,0.287,21
Falls Creek,PacifiCorp,Falls Creek Hydropower LP,PacifiCorp - West,44.396815,-122.350246,WAT,HYDRO,0.469,4.1
Faraday,Portland General Electric Co,Portland General Electric Co,Portland General Electric Company,45.268045,-122.32009,WAT,HYDRO,0.502,36.6
Finley Buttes Landfill Gas,Umatilla Electric Coop Assn,Finley BioEnergy LLC,Bonneville Power Administration,45.69,-119.61,LFG,BIOMASS,0.828,4.8
Fish Creek,PacifiCorp,PacifiCorp,PacifiCorp - West,43.274221,-122.448978,WAT,HYDRO,0.25,11
Foster,Bonneville Power Administration,USACE Northwestern Division,Bonneville Power Administration,44.4146,-122.6712,WAT,HYDRO,0.58,20
Four Corners Windfarm LLC,PacifiCorp,Echo 2,PacifiCorp - West,45.7286,-119.4181,WND,WIND,0.332,10
Four Mile Canyon Windfarm LLC,PacifiCorp,Echo 2,PacifiCorp - West,45.6447,-119.4533,WND,WIND,0.299,10
FPL Energy Vansycle LLC (OR),Bonneville Power Administration,FPL Energy Vansycle LLC,Bonneville Power Administration,46.01279,-118.816246,WND,WIND,0.255,122.8
Galesville Project,Pacific Power & Light Co,Douglas County,PacifiCorp - West,42.8489,-123.1778,WAT,HYDRO,0.193,1.6
Georgia-Pacific Toledo Mill,Central Lincoln People's Ut Dt,Georgia-Pacific Toledo LLC,Bonneville Power Administration,44.611944,-123.931944,BLQ,BIOMASS,0.082,37.3
Georgia-Pacific Wauna Mill,Bonneville Power Administration,Georgia-Pacific Consr Prods LP-Wauna,Bonneville Power Administration,46.153955,-123.40658,WDS,BIOMASS,0.402,36
Green Peter,Bonneville Power Administration,USACE Northwestern Division,Bonneville Power Administration,44.4494,-122.5494,WAT,HYDRO,0.427,80
Green Springs,Bonneville Power Administration,U S Bureau of Reclamation,Bonneville Power Administration,42.121168,-122.547896,WAT,HYDRO,0.428,17.2
Ground Water Pumping Station,Portland General Electric Co,Portland City of,Portland General Electric Company,45.555833,-122.494722,WAT,HYDRO,,5.4
Hay Canyon Wind Power LLC,Bonneville Power Administration,Iberdrola Renewables Inc,Bonneville Power Administration,45.52,-120.5744,WND,WIND,0.242,108
Hells Canyon,Idaho Power Co,Idaho Power Co,Idaho Power Company,45.2439,-116.7008,WAT,HYDRO,0.473,391.5
Hermiston,Bonneville Power Administration,Hermiston Generating Co LP,Bonneville Power Administration,45.8042,-119.37,NG,GAS,0.425,621.2
Hermiston Power Plant,Bonneville Power Administration,Hermiston Power Partnership,"Constellation Energy Control and Dispatch, LLC",45.794046,-119.313323,NG,GAS,0.513,689.4
Hills Creek,Bonneville Power Administration,USACE Northwestern Division,Bonneville Power Administration,43.7107,-122.4238,WAT,HYDRO,0.414,30
Horseshoe Bend Wind LLC,Bonneville Power Administration,Caithness Shepherds Flat LLC,Bonneville Power Administration,45.288056,-120.173888,WND,WIND,0.257,290
IP Springfield Oregon,Eugene Water & Electric Board,International Paper Corporation,Bonneville Power Administration,44.0569,-122.9555,BLQ,BIOMASS,0.125,65
"JC-Biomethane, LLC",Blachly-Lane County Coop El Assn,"JC-Biomethane, LLC",Bonneville Power Administration,44.183526,-123.200454,OBG,BIOMASS,0.45,1.6
Jett Creek Windfarm,Idaho Power Co,"Oregon Windfarms, LLC",Idaho Power Company,44.425,-117.273889,WND,WIND,,10
John C Boyle,PacifiCorp,PacifiCorp,PacifiCorp - West,42.093611,-122.0703,WAT,HYDRO,0.2,98.7
John Day,Bonneville Power Administration,USACE Northwestern Division,Bonneville Power Administration,45.71644,-120.69408,WAT,HYDRO,0.501,2160
Juniper Ridge Hydroelectric Project,PacifiCorp,Central Oregon Irrigation Dist,PacifiCorp - West,44.142698,-121.269747,WAT,HYDRO,0.319,5
Klamath Cogeneration Project,Bonneville Power Administration,Pacific Klamath Energy Inc,PacifiCorp - West,42.173889,-121.810556,NG,GAS,0.497,501.5
Klamath Energy LLC,PacifiCorp,Pacific Klamath Energy Inc,PacifiCorp - West,42.172718,-121.814393,NG,GAS,0.034,117.6
Klamath Solar,PacifiCorp,Iberdrola Renewables Inc,PacifiCorp - West,42.225,-121.781667,SUN,SOLAR,,5
Klondike Wind Power,Bonneville Power Administration,Iberdrola Renewables Inc,Bonneville Power Administration,45.5563,-120.5507,WND,WIND,0.252,24.5
Klondike Windpower II,Bonneville Power Administration,Iberdrola Renewables Inc,Bonneville Power Administration,45.571,-120.593,WND,WIND,0.339,75
Klondike Windpower III,Bonneville Power Administration,Iberdrola Renewables Inc,Bonneville Power Administration,45.5836,-120.5042,WND,WIND,0.307,297.5
Lacomb Irrigation District,PacifiCorp,Lacomb Irrigation Dist,PacifiCorp - West,44.597518,-122.685441,WAT,HYDRO,0.513,1
Lakeview Cogeneration LLC,PacifiCorp,Iberdrola Renewables Inc,PacifiCorp - West,42.188889,-120.679166,OBS,BIOMASS,,26.8
Leaburg,Eugene Water & Electric Board,Eugene Water & Electric Board,Bonneville Power Administration,44.1011,-122.6892,WAT,HYDRO,0.634,15.9
Leaning Juniper,PacifiCorp,PacifiCorp,PacifiCorp - West,45.652457,-120.209783,WND,WIND,0.244,100.5
Leaning Juniper Wind Power II,Bonneville Power Administration,Iberdrola Renewables Inc,Bonneville Power Administration,45.651,-120.2598,WND,WIND,0.251,201
Lemolo 1,PacifiCorp,PacifiCorp,PacifiCorp - West,43.3558,-122.2494,WAT,HYDRO,0.503,32
Lemolo 2,PacifiCorp,PacifiCorp,PacifiCorp - West,43.280611,-122.40248,WAT,HYDRO,0.515,38.5
Lime Wind,Idaho Power Co,Lime Wind LLC,Idaho Power Company,44.396944,-117.271944,WND,WIND,0.22,3
Lookout Point,Bonneville Power Administration,USACE Northwestern Division,Bonneville Power Administration,43.9153,-122.7531,WAT,HYDRO,0.33,120
Lost Creek,PacifiCorp,USACE Northwestern Division,PacifiCorp - West,42.6717,-122.6772,WAT,HYDRO,0.599,49
McNary,Bonneville Power Administration,USACE Northwestern Division,Bonneville Power Administration,45.9402,-119.2988,WAT,HYDRO,0.618,990.5
Medford Operation,PacifiCorp,Boise Cascade Wood Products LLC,PacifiCorp - West,42.355517,-122.904642,WDS,BIOMASS, -   ,8.5
Michell Butte Power Project,Idaho Power Co,Owyhee Irrigation District,Idaho Power Company,43.771896,-117.155023,WAT,HYDRO,0.006,1.8
Middle Fork Irrigation District,Hood River Electric Coop,Middle Fork Irrigation Dist,Bonneville Power Administration,45.480701,-121.59984,WAT,HYDRO,0.911,3.3
Montague Wind Power Facility LLC,Bonneville Power Admin,Iberdrola Renewables Inc,Bonneville Power Administration,45.716667,-120.200833,WND,WIND,,150
Neal Hot Springs Geothermal Project,Idaho Power Co,US Geothermal Inc.,Idaho Power Company,44.023056,-117.46806,GEO,GEOTHERMAL,0.635,33
North Fork,Portland General Electric Co,Portland General Electric Co,Portland General Electric Company,45.243287,-122.27995,WAT,HYDRO,0.573,40.8
North Hurlburt Wind LLC,Bonneville Power Administration,Caithness Shepherds Flat LLC,Bonneville Power Administration,45.288056,-120.173888,WND,WIND,0.25,265
Oak Grove,Portland General Electric Co,Portland General Electric Co,Portland General Electric Company,45.122009,-122.06987,WAT,HYDRO,0.468,51
Old Mill Solar,PacifiCorp,Old Mill Solar,PacifiCorp - West,42.203333,-121.046389,SUN,SOLAR,,5
Opal Springs Hydro,PacifiCorp,Desehutes Valley Water District,PacifiCorp - West,44.49004,-121.298812,WAT,HYDRO,0.718,4.3
Oregon State University Energy Center,PacifiCorp,Oregon State University,Bonneville Power Administration,44.564333,-123.289089,NG,GAS,0.729,6.5
Oregon Trail Windfarm LLC,PacifiCorp,Echo 1,PacifiCorp - West,45.7122,-119.4044,WND,WIND,0.299,9.9
Oregon University System OIT Klamath Fal,Pacific Power & Light Co,SolarCity Corporation,PacifiCorp - West,42.254167,-121.785,SUN,SOLAR,0.165,2
Oregon University System Rabbit Field,Pacific Power & Light Co,SolarCity Corporation,PacifiCorp - West,44.573484,-123.31695,SUN,SOLAR,0.129,1.2
Outback Solar At Christmas Valley,"Midstate Electric Coop, Inc","Outback Solar, LLC",Bonneville Power Administration,43.236944,-120.49,SUN,SOLAR,0.271,4.4
Owyhee Dam Power Project,Idaho Power Co,Owyhee Irrigation District,Idaho Power Company,43.641603,-117.24374,WAT,HYDRO,0.269,4.3
Oxbow (OR),Idaho Power Co,Idaho Power Co,Idaho Power Company,44.971643,-116.835042,WAT,HYDRO,0.5,190
Pacific Canyon Windfarm LLC,PacifiCorp,Echo 1,PacifiCorp - West,45.6542,-119.4869,WND,WIND,0.274,8.3
Paisley Geothermal Generating Plant,Surprise Valley Electrification,Surprise Valley Electrification,PacifiCorp - West,42.695833,-120.557778,GEO,GEOTHERMAL,,3.7
PaTu Wind Farm LLC,PaTu Wind Farm LLC,PaTu Wind Farm LLC,Bonneville Power Administration,45.613061,-120.616906,WND,WIND,0.384,9
Pebble Springs Wind LLC,Bonneville Power Administration,Iberdrola Renewables Inc,Bonneville Power Administration,45.7119,-120.125,WND,WIND,0.268,98.7
Pelton,Portland General Electric Co,Portland General Electric Co,Portland General Electric Company,44.694374,-121.231379,WAT,HYDRO,0.439,109.8
Perennial Wind Chaser Station,Umatilla Electric Coop Assn,Perennial-Wind Chaser LLC,Bonneville Power Administration,45.801999,-119.37212,NG,GAS,,424
Peters Drive Plant,PacifiCorp,Farmer's Irrigation District,PacifiCorp - West,45.66764,-121.548455,WAT,HYDRO,0.472,1.8
PHP 1,Portland General Electric Co,Portland General Electric Co,Portland General Electric Company,45.481708,-122.083188,WAT,HYDRO,0.272,23.7
PHP 2,Portland General Electric Co,Portland General Electric Co,Portland General Electric Company,45.448977,-122.151257,WAT,HYDRO,0.347,11.8
Poplars Ranch Solar LLC,Bonneville Power Administration,Capital Power Corporation,Bonneville Power Administration,43.268206,-120.913617,SUN,SOLAR,,16
Port Westward,Portland General Electric Co,Portland General Electric Co,Portland General Electric Company,46.17894,-123.172039,NG,GAS,0.459,483
Port Westward Unit 2,Portland General Electric Co,Portland General Electric Co,Portland General Electric Company,46.178889,-123.171944,NG,GAS,,225.6
POTB Digester,Tillamook Peoples Utility Dist,Port of Tillamook Bay,Bonneville Power Administration,45.414444,-123.804167,OBG,BIOMASS,0.648,1
Powerdale,PacifiCorp,PacifiCorp,PacifiCorp - West,45.7039,-121.5042,WAT,HYDRO,,6
Prospect 1,PacifiCorp,PacifiCorp,PacifiCorp - West,42.730717,-122.515122,WAT,HYDRO,0.713,3.8
Prospect 2,PacifiCorp,PacifiCorp,PacifiCorp - West,42.731237,-122.513974,WAT,HYDRO,0.737,32
Prospect 3,PacifiCorp,PacifiCorp,PacifiCorp - West,42.730606,-122.41846,WAT,HYDRO,0.57,7.2
Prospect 4,PacifiCorp,PacifiCorp,PacifiCorp - West,42.733073,-122.515079,WAT,HYDRO,0.521,1
Prospector Windfarm,Idaho Power Co,"Oregon Windfarms, LLC",Idaho Power Company,44.418056,-117.255,WND,WIND,,10
R & R Lumber,Pacific Power & Light Co,Rough and Ready Lumber Company,PacifiCorp - West,42.104338,-123.677254,WDS,BIOMASS, -   ,1.5
River Mill,Portland General Electric Co,Portland General Electric Co,Portland General Electric Company,45.299991,-122.350023,WAT,HYDRO,0.638,18.8
Riverbend Landfill,City of McMinnville - (OR),WM Renewable Energy LLC,Bonneville Power Administration,45.1672,-123.2511,LFG,BIOMASS,0.871,4.8
Roseburg LFG,PacifiCorp,Roseburg LFG Energy LLC,PacifiCorp - West,43.186111,-123.380278,LFG,BIOMASS,0.757,1.6
Round Butte,Portland General Electric Co,Portland General Electric Co,Portland General Electric Company,44.605837,-121.277334,WAT,HYDRO,0.304,372.5
Sand Ranch Windfarm LLC,PacifiCorp,Echo 1,PacifiCorp - West,45.6447,-119.4767,WND,WIND,0.288,9.9
Seneca Sustainable Energy LLC,Eugene Water & Electric Board,Seneca Sustainable Energy LLC,Bonneville Power Administration,44.116306,-123.179007,WDS,BIOMASS,0.673,19.8
Short Mountain,Emerald People's Utility Dist,Emerald People's Utility Dist,PacifiCorp - West,43.9125,-123.0225,LFG,BIOMASS,0.57,3.2
Siphon Power Project,PacifiCorp,Central Oregon Irrigation Dist,PacifiCorp - West,44.033022,-121.3297,WAT,HYDRO,0.541,5.4
Slide Creek,PacifiCorp,PacifiCorp,PacifiCorp - West,43.2939,-122.4728,WAT,HYDRO,0.447,18
Soda Springs,PacifiCorp,PacifiCorp,PacifiCorp - West,43.3061,-122.5014,WAT,HYDRO,0.561,11
South Dunes Power Plant,Pacific Power & Light Co,Jordan Cove Energy Project LP,PacifiCorp - West,43.433889,-124.243333,NG,GAS,,489
South Hurlburt Wind LLC,Bonneville Power Administration,Caithness Shepherds Flat LLC,Bonneville Power Administration,45.288056,-120.173888,WND,WIND,0.237,290
SPFT - Newberg Cogen,Portland General Electric Co,SP Fiber Technologies NW LLC,Portland General Electric Company,45.2879,-122.9627,WDS,BIOMASS,0.092,163.3
Sprague Hydro,PacifiCorp,Sprague Hydro LLC,PacifiCorp - West,42.50136,-120.98944,WAT,HYDRO,0.278,1.2
Star Point Wind Project LLC,Bonneville Power Administration,Iberdrola Renewables Inc,Bonneville Power Administration,45.51,-120.48,WND,WIND,0.287,98.7
Stone Creek,Portland General Electric Co,Eugene Water & Electric Board,Portland General Electric Company,45.081111,-121.886611,WAT,HYDRO,0.606,12
Sullivan,Portland General Electric Co,Portland General Electric Co,Portland General Electric Company,45.354004,-122.618954,WAT,HYDRO,0.944,15.4
Summit Ridge I Wind Farm,Bonneville Power Administration,"LotusWorks-Summit Ridge I, LLC",Bonneville Power Administration,45.451667,-120.941667,WND,WIND,,151.8
The Dalles,Bonneville Power Administration,USACE Northwestern Division,Bonneville Power Administration,45.614,-121.1346,WAT,HYDRO,0.436,1819.7
Threemile Canyon Wind I LLC,Umatilla Electric Coop Assn,Threemile Canyon Wind I,Bonneville Power Administration,45.6758,-119.9375,WND,WIND,0.266,9.9
Threemile Digester,PacifiCorp,"TMF Biofuels, LLC",PacifiCorp - West,45.71,-119.901111,OBG,BIOMASS,0.828,4.8
Toketee Falls,PacifiCorp,PacifiCorp,PacifiCorp - West,43.272729,-122.447498,WAT,HYDRO,0.607,42.6
Troutdale Energy Center,no name,Troutdale Energy Center LLC,,45.558333,-122.416667,NG,GAS,,652
Tunnel 1 Power Project,Idaho Power Co,Owyhee Irrigation District,Idaho Power Company,43.642023,-117.232674,WAT,HYDRO,,7
Univ of Oregon Central Power Station,Eugene Water & Electric Board,University of Oregon,Bonneville Power Administration,44.048333,-123.073889,NG,GAS,0.367,11
Vansycle,Bonneville Power Administration,ESI Vansycle Partners LP,Bonneville Power Administration,45.936157,-118.65999,WND,WIND,0.309,25
Vansycle II Wind Energy Center,PacifiCorp,FPL Energy Stateline II Inc,PacifiCorp - West,45.899167,-118.591389,WND,WIND,0.326,98.9
Wagon Trail LLC,PacifiCorp,Echo 3,PacifiCorp - West,45.6531,-119.4625,WND,WIND,0.259,3.3
Wallowa Falls,PacifiCorp,PacifiCorp,PacifiCorp - West,45.266702,-117.212732,WAT,HYDRO,0.244,1.1
Walterville,Eugene Water & Electric Board,Eugene Water & Electric Board,Bonneville Power Administration,44.069636,-122.835046,WAT,HYDRO,0.75,8
Ward Butte Windfarm LLC,PacifiCorp,Echo 1,PacifiCorp - West,45.6967,-119.4097,WND,WIND,0.306,6.6
Warm Springs Forest Products,PacifiCorp,Warm Springs Forest Prod Indst,PacifiCorp - West,44.764843,-121.234733,WDS,BIOMASS,0.019,9
Warm Springs Power Enterprises,PacifiCorp,Warm Springs Power Enterprises,PacifiCorp - West,44.724242,-121.247729,WAT,HYDRO,0.52,19.6
Waste Management Columbia Ridge LFGTE,"Columbia Basin Elec Cooperative, Inc",WM Renewable Energy LLC,Bonneville Power Administration,45.5739,-120.2969,LFG,BIOMASS,0.623,12.8
West Butte Wind Power Project,Bonneville Power Administration,West Butte Wind Power LLC,Bonneville Power Administration,43.964167,-120.812222,WND,WIND,,80
Wheat Field Wind Power Project,Bonneville Power Administration,Wheat Field Wind Power Project LLC,Bonneville Power Administration,45.675804,-120.31832,WND,WIND,0.261,97
Willow Creek Energy Center,Bonneville Power Administration,Invenergy Services LLC,Bonneville Power Administration,45.6533,-119.9914,WND,WIND,0.274,72
Willow Spring Windfarm,Idaho Power Co,"Oregon Windfarms, LLC",Idaho Power Company,44.381944,-117.273056,WND,WIND,,10
Yamhill Solar LLC,Portland General Electric Co,"EDF Renewable Asset Holdings, Inc.",Portland General Electric Company,45.108889,-123.278611,SUN,SOLAR,0.138,1
500 Virginia Solar,"PEPCO Energy Service, Inc","500 Virginia Solar, LP","PJM Interconnection, LLC",40.139167,-75.191667,SUN,SOLAR,0.129,1
AES Beaver Valley LLC,Duquesne Light Co,AES Beaver Valley,"PJM Interconnection, LLC",40.657218,-80.353929,BIT,COAL, -   ,149
Allegheny Energy Units 1 & 2,West Penn Power Company,Allegheny Energy Supply Co LLC,"PJM Interconnection, LLC",40.546667,-79.768333,NG,GAS,0.08,87.6
"Allegheny Energy Units 3, 4 & 5",West Penn Power Company,Allegheny Energy Supply Co LLC,"PJM Interconnection, LLC",40.545278,-79.768611,NG,GAS,0.807,556
Allegheny Energy Units 8 & 9,West Penn Power Company,Allegheny Energy Supply Co LLC,"PJM Interconnection, LLC",39.7475,-79.838888,NG,GAS,0.064,87.6
Allegheny Hydro No 8,New York State Elec & Gas Corp,Allegheny Hydro LLC,"PJM Interconnection, LLC",40.896596,-79.478982,WAT,HYDRO,0.858,13.6
Allegheny Hydro No 9,New York State Elec & Gas Corp,Allegheny Hydro LLC,"PJM Interconnection, LLC",40.955961,-79.550681,WAT,HYDRO,0.805,17.8
Allegheny No 6 Hydro Partners,West Penn Power Company,Allegheny Energy Supply Co LLC,"PJM Interconnection, LLC",40.716389,-79.577222,WAT,HYDRO,0.049,9.2
Allegheny Ridge Wind Farm,Pennsylvania Electric Co,Infigen Asset Management LLC,"PJM Interconnection, LLC",40.383889,-78.579444,WND,WIND,0.289,80
Allenwood,PPL Electric Utilities Corp,Talen Renewable Energy,"PJM Interconnection, LLC",41.151111,-76.917777,LFG,BIOMASS,0.867,3.2
Alpaca,Pennsylvania Electric Co,Alpaca Energy LLC,"PJM Interconnection, LLC",41.663056,-76.805556,NG,GAS,,22
American Eagle Paper Mills,Pennsylvania Electric Co,American Eagle Paper Mills,"PJM Interconnection, LLC",40.679853,-78.233464,BIT,COAL,0.29,17.5
Amity Energy LLC,FirstEnergy Co,"Amity Energy, LLC","PJM Interconnection, LLC",40.071389,-80.204722,NG,GAS,,22
Aqua Ingrams Mill,PECO Energy Co,Aqua America Inc,"PJM Interconnection, LLC",39.9647,-75.6578,SUN,SOLAR,0.145,1
Armenia Mountain Wind Farm,Pennsylvania Electric Co,Allete Clean Energy,"PJM Interconnection, LLC",41.7619,-76.8553,WND,WIND,0.306,100.5
Armstrong Power Station,West Penn Power Co,Allegheny Energy Supply Co LLC,"PJM Interconnection, LLC",40.929167,-79.465556,BIT,COAL,,326.4
"Armstrong Power, LLC",First Energy Solutions Corp.,IPA Operations Inc - Armstrong,"PJM Interconnection, LLC",40.638021,-79.351725,NG,GAS,0.118,688
"Basswood Energy, LLC",FirstEnergy Co,"Basswood Energy, LLC","PJM Interconnection, LLC",41.640278,-77.278333,NG,GAS,,22
Bayles,West Penn Power Company,Bayles Energy LLC,"PJM Interconnection, LLC",39.816944,-80.024444,NG,GAS,,22
Beaver Dam,Pennsylvania Electric Co,Beaver Dam Energy LLC,"PJM Interconnection, LLC",41.611389,-76.843056,NG,GAS,,22
Beaver Solar LLC,Duquesne Light Co,Laurel Capital Partners,"PJM Interconnection, LLC",40.691389,-80.323889,SUN,SOLAR,0.129,1.3
Beaver Valley,Duquesne Light Co,FirstEnergy Nuclear Operating Company,"PJM Interconnection, LLC",40.6219,-80.4336,NUC,NUCLEAR,0.912,1846.8
Beaver Valley Patterson Dam,Duquesne Light Co,CHI Energy Inc,"PJM Interconnection, LLC",40.744105,-80.317839,WAT,HYDRO,0.323,1.2
Bethlehem Power Plant,PPL Electric Utilities Corp,Calpine Bethlehem LLC,"PJM Interconnection, LLC",40.6175,-75.3147,NG,GAS,0.413,1300
Bethlehem Renewable Energy LLC,PPL Electric Utilities Corp,Bethlehem Renewable Energy LLC,"PJM Interconnection, LLC",40.621582,-75.310236,LFG,BIOMASS,0.596,5.5
Blossburg,Pennsylvania Electric Co,NRG REMA LLC,"PJM Interconnection, LLC",41.706475,-77.08184,NG,GAS,0.022,24
Blue Ridge Landfill,Borough of Chambersburg,Talen Renewable Energy,"PJM Interconnection, LLC",39.961944,-77.561111,LFG,BIOMASS,0.917,6.4
Braddock Lock and Dam,Hydro Green Energy,Hydro Green Energy,"PJM Interconnection, LLC",40.388889,-79.858889,WAT,HYDRO,,5.3
Broad Mountain,PPL Electric Utilities Corp,UGI Development Co,"PJM Interconnection, LLC",40.669608,-76.380716,LFG,BIOMASS,0.463,11
Bruce Mansfield,American Transmission Systems Inc,FirstEnergy Generation Corp,"PJM Interconnection, LLC",40.6348,-80.4159,BIT,COAL,0.714,2741.1
"Brunner Island, LLC",PPL Electric Utilities Corp,Brunner Island LLC,"PJM Interconnection, LLC",40.096111,-76.6962,BIT,COAL,0.418,1624.2
Brunot Island Power Station,Duquesne Light Co,NRG Power Midwest LP,"PJM Interconnection, LLC",40.464851,-80.043761,NG,GAS,0.01,416.4
Bucknell University,Citizens Electric Co - (PA),Bucknell University,"PJM Interconnection, LLC",40.955015,-76.878843,NG,GAS,0.71,5.9
Cambria Cogen,Pennsylvania Electric Co,Cambria CoGen Co,"PJM Interconnection, LLC",40.474167,-78.7014,WC,COAL,0.872,98
CASD Solar,PPL Electric Utilities Corp,Carlisle Area School District,"PJM Interconnection, LLC",40.2142,-77.2061,SUN,SOLAR, -   ,1.3
Casselman Wind Power Project,FirstEnergy Co,Iberdrola Renewables Inc,"PJM Interconnection, LLC",39.85,-79.138,WND,WIND,0.324,34.5
Chambersburg Units 12 & 13,West Penn Power Company,Allegheny Energy Supply Co LLC,"PJM Interconnection, LLC",39.866944,-77.685833,NG,GAS,0.099,87.6
Chester Generating Station,PECO Energy Co,Exelon Power,"PJM Interconnection, LLC",39.8301,-75.3837,DFO,OIL,0.006,55.8
Chestnut Flats Wind Farm,FirstEnergy Co,"EDF Renewable Asset Holdings, Inc.","PJM Interconnection, LLC",40.522846,-78.476921,WND,WIND,0.334,38
Cheswick,Duquesne Light Co,NRG Power Midwest LP,"PJM Interconnection, LLC",40.5383,-79.7906,BIT,COAL,0.524,637
Colver Power Project,Pennsylvania Electric Co,"Inter-Power/AhlCon Partners, L.P.","PJM Interconnection, LLC",40.55,-78.8,WC,COAL,0.818,118
Conemaugh,Pennsylvania Electric Co,GenOn Northeast Management Company,"PJM Interconnection, LLC",40.3842,-79.0611,BIT,COAL,0.667,1884
Conemaugh Hydro Plant,Pennsylvania Electric Co,Pennsylvania Renewable Resources,"PJM Interconnection, LLC",40.46439,-79.365703,WAT,HYDRO,0.291,15
Covanta Delaware Valley,PECO Energy Co,Covanta Delaware Valley LP,"PJM Interconnection, LLC",39.8265,-75.3882,MSW,BIOMASS,0.694,90
Covanta Plymouth Renewable Energy,PECO Energy Co,Covanta Plymouth Renewable Energy L P,"PJM Interconnection, LLC",40.0967,-75.3103,MSW,BIOMASS,0.724,32.1
Crawford Renewable Energy - Meadville Po,,"Crawford Renewable Energy, LLC","PJM Interconnection, LLC",41.529167,-80.233611,TDF,OFSL,,99.5
Crayola Solar Project,Metropolitan Edison Co,UGI Development Co,"PJM Interconnection, LLC",40.760545,-75.238452,SUN,SOLAR,0.122,2.8
